GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fibonacci-api,com.fibonacci.controller,FibonacciController,0,34,0,2,0,11,0,4,0,3
fibonacci-api,com.fibonacci.business,FibonacciService,0,78,0,10,0,19,0,7,0,2
fibonacci-api,com.fibonacci.business,FibonacciStatsService,0,37,0,0,0,9,0,4,0,4
fibonacci-api,com.fibonacci,FibonacciApiApplication,5,3,0,0,2,1,1,1,1,1
fibonacci-api,com.fibonacci.model,FibonacciNumber,0,26,0,0,0,11,0,6,0,6
fibonacci-api,com.fibonacci.model,FibonacciStats,0,33,0,0,0,13,0,7,0,7
